,Name
Louise Bourgeois,3336
Lilly Reich,823
Dorothea Lange,480
Elaine Lustig Cohen,235
Marianne Wex,214
Olga Rozanova,211
Sophie Calle,203
Anni Albers,198
Kiki Smith,177
Aleksandra Mir,175
Frances Benjamin Johnston,158
Natalia Goncharova,134
Lauretta Vinciarelli,124
Claudia Andujar,109
Judith Joy Ross,106
Ilse Bing,104
Sherrie Levine,103
Blanche Parker,103
Elizabeth Murray,99
Rosemarie Trockel,99
Cindy Sherman,98
Doris Ulmann,95
Yoko Ono,93
Fiona Banner,92
Marie Laurencin,91
Mieko Shiomi,89
Helen Levitt,88
Gertrude Käsebier,88
Ellen Gallagher,85
Ree Morton,84
Diane Arbus,83
Kara Walker,83
Rachel Harrison,80
VALIE EXPORT,79
Jan Groover,79
Louise Nevelson,78
Berenice Abbott,78
Adrian Piper,78
Eva Zeisel,77
Chryssa,74
Meg Cranston,71
Gego (Gertrud Goldschmidt),71
Martha Rosler,68
Louise Lawler,66
June Wayne,65
Margaret Bourke-White,65
Helen Frankenthaler,62
Joanne Leonard,62
Takako Saito,62
Varvara Stepanova,60
Rosalind Fox Solomon,60
Alison Knowles,60
Eleanor Antin,60
Mira Schendel,57
Florine Stettheimer,57
Gunta Stölzl,57
Vija Celmins,56
Ruth Asawa,56
Sonia Delaunay-Terk,55
Marina Abramović,54
Lee Bontecou,54
Susan Rothenberg,52
Agnes Martin,51
Fré Cohen,51
Geneviève Asse,50
Joan Mitchell,47
Hilma af Klint,47
Rachel Whiteread,47
Betye Saar,46
Julie Mehretu,46
Madoka Takagi,46
Imogen Cunningham,43
Irma Boom,43
Zarina,43
Pat Steir,43
Cady Noland,42
Shigeko Kubota,41
Beth Van Hoesen,40
Grace Hartigan,39
Marian Zazeela,38
Ynez Johnston,38
Peggy Bacon,37
Gay Block,37
Jo Baer,36
Hedda Sterne,36
Alexandra Exter,35
Simone Forti,35
Anne Ryan,35
Lorna Simpson,34
Lynn Hershman Leeson,34
Käthe Kollwitz,34
Deana Lawson,34
Andrea Zittel,33
Beatriz González,33
Melissa Shook,33
Rebecca Horn,33
Liliana Porter,33
Susan Kare,32
Anna Maria Maiolino,32
Eleanore Mikus,32
Tina Modotti,32
Meret Oppenheim,31
Agnes Caroline Chamberlayne Johnstone,31
Cecilia Vicuña,31
Marisol (Marisol Escobar),31
Barbara Kruger,31
Tauba Auerbach,31
Erica Karawina,31
Dorothea Rockburne,30
Kirsten Hawthorne,30
Elizabeth Peyton,30
Vera Ermolaeva,30
Carolee Schneemann,29
Edda Renouf,29
Hannah Wilke,29
Zoe Leonard,28
Mona Hatoum,28
